LINE_DATE,JIKANWARI_KBN,KUMI_CD,TYOKU_KBN(1),PRODUCT_CNT,PLAN_PRODUCT_CNT
2023/10/3 0:00,6,NH11,1,96,98
2023/10/3 0:00,6,NH11,2,,
2023/10/3 0:00,6,NH12,1,,
2023/10/3 0:00,6,NH12,2,0,0
2023/10/3 0:00,7,NH11,1,123,130
2023/10/3 0:00,7,NH11,2,,
2023/10/3 0:00,7,NH12,1,,
2023/10/3 0:00,7,NH12,2,118,122
2023/10/3 0:00,8,NH11,1,105,106
2023/10/3 0:00,8,NH11,2,,
2023/10/3 0:00,8,NH12,1,,
2023/10/3 0:00,8,NH12,2,0,130
2023/10/3 0:00,9,NH11,1,120,120
2023/10/3 0:00,9,NH11,2,,
2023/10/3 0:00,9,NH12,1,,
2023/10/3 0:00,9,NH12,2,0,106
2023/10/3 0:00,10,NH11,1,0,0
2023/10/3 0:00,10,NH11,2,,
2023/10/3 0:00,10,NH12,1,,
2023/10/3 0:00,10,NH12,2,0,98
2023/10/3 0:00,11,NH11,1,0,0
2023/10/3 0:00,11,NH11,2,,
2023/10/3 0:00,11,NH12,1,,
2023/10/3 0:00,11,NH12,2,0,0
2023/10/3 0:00,12,NH11,1,0,0
2023/10/3 0:00,12,NH11,2,,
2023/10/3 0:00,12,NH12,1,,
2023/10/3 0:00,12,NH12,2,0,0
2023/10/3 0:00,13,NH11,1,0,0
2023/10/3 0:00,13,NH11,2,,
2023/10/3 0:00,13,NH12,1,,
2023/10/3 0:00,13,NH12,2,0,0
2023/10/4 0:00,1,NH11,1,120,120
2023/10/4 0:00,1,NH11,2,,
2023/10/4 0:00,1,NH12,1,,
2023/10/4 0:00,1,NH12,2,0,0
2023/10/4 0:00,2,NH11,1,130,130
2023/10/4 0:00,2,NH11,2,,
2023/10/4 0:00,2,NH12,1,,
2023/10/4 0:00,2,NH12,2,120,120
2023/10/4 0:00,3,NH11,1,108,108
2023/10/4 0:00,3,NH11,2,,
2023/10/4 0:00,3,NH12,1,,
2023/10/4 0:00,3,NH12,2,130,130
2023/10/4 0:00,4,NH11,1,130,130
2023/10/4 0:00,4,NH11,2,,
2023/10/4 0:00,4,NH12,1,,
2023/10/4 0:00,4,NH12,2,108,108
2023/10/4 0:00,5,NH11,1,0,0
2023/10/4 0:00,5,NH11,2,,
2023/10/4 0:00,5,NH12,1,,
2023/10/4 0:00,5,NH12,2,128,128
2023/10/4 0:00,6,NH11,1,0,0
2023/10/4 0:00,6,NH11,2,,
2023/10/4 0:00,6,NH12,1,,
2023/10/4 0:00,6,NH12,2,0,0
2023/10/4 0:00,7,NH11,1,96,96
2023/10/4 0:00,7,NH11,2,,
2023/10/4 0:00,7,NH12,1,,
2023/10/4 0:00,7,NH12,2,122,122
2023/10/4 0:00,8,NH11,1,108,108
2023/10/4 0:00,8,NH11,2,,
2023/10/4 0:00,8,NH12,1,,
2023/10/4 0:00,8,NH12,2,130,130
2023/10/4 0:00,9,NH11,1,118,118
2023/10/4 0:00,9,NH11,2,,
2023/10/4 0:00,9,NH12,1,,
2023/10/4 0:00,9,NH12,2,106,106
2023/10/4 0:00,10,NH11,1,0,0
2023/10/4 0:00,10,NH11,2,,
2023/10/4 0:00,10,NH12,1,,
2023/10/4 0:00,10,NH12,2,98,98
2023/10/4 0:00,11,NH11,1,0,0
2023/10/4 0:00,11,NH11,2,,
2023/10/4 0:00,11,NH12,1,,
2023/10/4 0:00,11,NH12,2,0,0
2023/10/4 0:00,12,NH11,1,0,0
2023/10/4 0:00,12,NH11,2,,
2023/10/4 0:00,12,NH12,1,,
2023/10/4 0:00,12,NH12,2,0,0
2023/10/4 0:00,13,NH11,1,0,0
2023/10/4 0:00,13,NH11,2,,
2023/10/4 0:00,13,NH12,1,,
2023/10/4 0:00,13,NH12,2,0,0
2023/10/5 0:00,1,NH11,1,118,120
2023/10/5 0:00,1,NH11,2,,
2023/10/5 0:00,1,NH12,1,,
2023/10/5 0:00,1,NH12,2,0,0
2023/10/5 0:00,2,NH11,1,130,130
2023/10/5 0:00,2,NH11,2,,
2023/10/5 0:00,2,NH12,1,,
2023/10/5 0:00,2,NH12,2,118,120
2023/10/5 0:00,3,NH11,1,104,108
2023/10/5 0:00,3,NH11,2,,
2023/10/5 0:00,3,NH12,1,,
2023/10/5 0:00,3,NH12,2,128,130
2023/10/5 0:00,4,NH11,1,130,130
2023/10/5 0:00,4,NH11,2,,
2023/10/5 0:00,4,NH12,1,,
2023/10/5 0:00,4,NH12,2,108,108
2023/10/5 0:00,5,NH11,1,0,0
2023/10/5 0:00,5,NH11,2,,
2023/10/5 0:00,5,NH12,1,,
2023/10/5 0:00,5,NH12,2,128,128
2023/10/5 0:00,6,NH11,1,93,98
2023/10/5 0:00,6,NH11,2,,
2023/10/5 0:00,6,NH12,1,,
2023/10/5 0:00,6,NH12,2,0,0
2023/10/5 0:00,7,NH11,1,126,130
2023/10/5 0:00,7,NH11,2,,
2023/10/5 0:00,7,NH12,1,,
2023/10/5 0:00,7,NH12,2,122,122
2023/10/5 0:00,8,NH11,1,106,106
2023/10/5 0:00,8,NH11,2,,
2023/10/5 0:00,8,NH12,1,,
2023/10/5 0:00,8,NH12,2,128,130
2023/10/5 0:00,9,NH11,1,119,120
2023/10/5 0:00,9,NH11,2,,
2023/10/5 0:00,9,NH12,1,,
2023/10/5 0:00,9,NH12,2,106,106
2023/10/5 0:00,10,NH11,1,0,0
2023/10/5 0:00,10,NH11,2,,
2023/10/5 0:00,10,NH12,1,,
2023/10/5 0:00,10,NH12,2,98,98
2023/10/5 0:00,11,NH11,1,0,0
2023/10/5 0:00,11,NH11,2,,
2023/10/5 0:00,11,NH12,1,,
2023/10/5 0:00,11,NH12,2,0,0
2023/10/5 0:00,12,NH11,1,0,0
2023/10/5 0:00,12,NH11,2,,
2023/10/5 0:00,12,NH12,1,,
2023/10/5 0:00,12,NH12,2,0,0
2023/10/5 0:00,13,NH11,1,0,0
2023/10/5 0:00,13,NH11,2,,
2023/10/5 0:00,13,NH12,1,,
2023/10/5 0:00,13,NH12,2,0,0
2023/10/6 0:00,1,NH11,1,110,120
2023/10/6 0:00,1,NH11,2,,
2023/10/6 0:00,1,NH12,1,,
2023/10/6 0:00,1,NH12,2,0,0
2023/10/6 0:00,2,NH11,1,130,130
2023/10/6 0:00,2,NH11,2,,
2023/10/6 0:00,2,NH12,1,,
2023/10/6 0:00,2,NH12,2,120,120
2023/10/6 0:00,3,NH11,1,90,108
2023/10/6 0:00,3,NH11,2,,
2023/10/6 0:00,3,NH12,1,,
2023/10/6 0:00,3,NH12,2,130,130
2023/10/6 0:00,4,NH11,1,92,130
2023/10/6 0:00,4,NH11,2,,
2023/10/6 0:00,4,NH12,1,,
2023/10/6 0:00,4,NH12,2,108,108
2023/10/6 0:00,5,NH11,1,0,0
2023/10/6 0:00,5,NH11,2,,
2023/10/6 0:00,5,NH12,1,,
2023/10/6 0:00,5,NH12,2,128,128
2023/10/6 0:00,6,NH11,1,98,98
2023/10/6 0:00,6,NH11,2,,
2023/10/6 0:00,6,NH12,1,,
2023/10/6 0:00,6,NH12,2,0,0
2023/10/6 0:00,7,NH11,1,130,130
2023/10/6 0:00,7,NH11,2,,
2023/10/6 0:00,7,NH12,1,,
2023/10/6 0:00,7,NH12,2,122,122
2023/10/6 0:00,8,NH11,1,104,106
2023/10/6 0:00,8,NH11,2,,
2023/10/6 0:00,8,NH12,1,,
2023/10/6 0:00,8,NH12,2,129,130
2023/10/6 0:00,9,NH11,1,110,120
2023/10/6 0:00,9,NH11,2,,
2023/10/6 0:00,9,NH12,1,,
2023/10/6 0:00,9,NH12,2,85,84
2023/10/6 0:00,10,NH11,1,0,0
2023/10/6 0:00,10,NH11,2,,
2023/10/6 0:00,10,NH12,1,,
2023/10/6 0:00,10,NH12,2,0,0
2023/10/6 0:00,11,NH11,1,0,0
2023/10/6 0:00,11,NH11,2,,
2023/10/6 0:00,11,NH12,1,,
2023/10/6 0:00,11,NH12,2,0,0
2023/10/6 0:00,12,NH11,1,0,0
2023/10/6 0:00,12,NH11,2,,
2023/10/6 0:00,12,NH12,1,,
2023/10/6 0:00,12,NH12,2,0,0
2023/10/6 0:00,13,NH11,1,0,0
2023/10/6 0:00,13,NH11,2,,
2023/10/6 0:00,13,NH12,1,,
2023/10/6 0:00,13,NH12,2,0,0
2023/10/7 0:00,1,NH11,1,0,120
2023/10/7 0:00,1,NH11,2,,
2023/10/7 0:00,1,NH12,1,,
2023/10/7 0:00,1,NH12,2,0,0
2023/10/7 0:00,2,NH11,1,0,130
2023/10/7 0:00,2,NH11,2,,
2023/10/7 0:00,2,NH12,1,,
2023/10/7 0:00,2,NH12,2,0,120
2023/10/7 0:00,3,NH11,1,0,108
2023/10/7 0:00,3,NH11,2,,
2023/10/7 0:00,3,NH12,1,,
2023/10/7 0:00,3,NH12,2,0,130
2023/10/7 0:00,4,NH11,1,0,130
2023/10/7 0:00,4,NH11,2,,
2023/10/7 0:00,4,NH12,1,,
2023/10/7 0:00,4,NH12,2,0,108
2023/10/7 0:00,5,NH11,1,0,0
2023/10/7 0:00,5,NH11,2,,
2023/10/7 0:00,5,NH12,1,,
2023/10/7 0:00,5,NH12,2,0,128
2023/10/7 0:00,6,NH11,1,0,98
2023/10/7 0:00,6,NH11,2,,
2023/10/7 0:00,6,NH12,1,,
2023/10/7 0:00,6,NH12,2,0,0
2023/10/7 0:00,7,NH11,1,0,130
2023/10/7 0:00,7,NH11,2,,
2023/10/7 0:00,7,NH12,1,,
2023/10/7 0:00,7,NH12,2,0,122
2023/10/7 0:00,8,NH11,1,0,106
2023/10/7 0:00,8,NH11,2,,
2023/10/7 0:00,8,NH12,1,,
2023/10/7 0:00,8,NH12,2,0,130
2023/10/7 0:00,9,NH11,1,0,120
2023/10/7 0:00,9,NH11,2,,
2023/10/7 0:00,9,NH12,1,,
2023/10/7 0:00,9,NH12,2,0,84
2023/10/7 0:00,10,NH11,1,0,0
2023/10/7 0:00,10,NH11,2,,
2023/10/7 0:00,10,NH12,1,,
2023/10/7 0:00,10,NH12,2,0,0
2023/10/7 0:00,11,NH11,1,0,0
2023/10/7 0:00,11,NH11,2,,
2023/10/7 0:00,11,NH12,1,,
2023/10/7 0:00,11,NH12,2,0,0
2023/10/7 0:00,12,NH11,1,0,0
2023/10/7 0:00,12,NH11,2,,
2023/10/7 0:00,12,NH12,1,,
2023/10/7 0:00,12,NH12,2,0,0
2023/10/7 0:00,13,NH11,1,0,0
2023/10/7 0:00,13,NH11,2,,
2023/10/7 0:00,13,NH12,1,,
2023/10/7 0:00,13,NH12,2,0,0
2023/10/8 0:00,1,NH11,1,,
2023/10/8 0:00,1,NH11,2,0,0
2023/10/8 0:00,1,NH12,1,0,118
2023/10/8 0:00,1,NH12,2,,
2023/10/8 0:00,2,NH11,1,,
2023/10/8 0:00,2,NH11,2,0,118
2023/10/8 0:00,2,NH12,1,0,128
2023/10/8 0:00,2,NH12,2,,
2023/10/8 0:00,3,NH11,1,,
2023/10/8 0:00,3,NH11,2,0,128
2023/10/8 0:00,3,NH12,1,0,106
2023/10/8 0:00,3,NH12,2,,
2023/10/8 0:00,4,NH11,1,,
2023/10/8 0:00,4,NH11,2,0,106
2023/10/8 0:00,4,NH12,1,0,128
2023/10/8 0:00,4,NH12,2,,
2023/10/8 0:00,5,NH11,1,,
2023/10/8 0:00,5,NH11,2,0,128
2023/10/8 0:00,5,NH12,1,0,0
2023/10/8 0:00,5,NH12,2,,
2023/10/8 0:00,6,NH11,1,,
2023/10/8 0:00,6,NH11,2,0,0
2023/10/8 0:00,6,NH12,1,0,98
2023/10/8 0:00,6,NH12,2,,
2023/10/8 0:00,7,NH11,1,,
2023/10/8 0:00,7,NH11,2,0,118
2023/10/8 0:00,7,NH12,1,0,126
2023/10/8 0:00,7,NH12,2,,
2023/10/8 0:00,8,NH11,1,,
2023/10/8 0:00,8,NH11,2,0,128
2023/10/8 0:00,8,NH12,1,0,96
2023/10/8 0:00,8,NH12,2,,
2023/10/8 0:00,9,NH11,1,,
2023/10/8 0:00,9,NH11,2,0,106
2023/10/8 0:00,9,NH12,1,0,0
2023/10/8 0:00,9,NH12,2,,
2023/10/8 0:00,10,NH11,1,,
2023/10/8 0:00,10,NH11,2,0,96
2023/10/8 0:00,10,NH12,1,0,0
2023/10/8 0:00,10,NH12,2,,
2023/10/8 0:00,11,NH11,1,,
2023/10/8 0:00,11,NH11,2,0,0
2023/10/8 0:00,11,NH12,1,0,0
2023/10/8 0:00,11,NH12,2,,
2023/10/8 0:00,12,NH11,1,,
2023/10/8 0:00,12,NH11,2,0,0
2023/10/8 0:00,12,NH12,1,0,0
2023/10/8 0:00,12,NH12,2,,
2023/10/8 0:00,13,NH11,1,,
2023/10/8 0:00,13,NH11,2,0,0
2023/10/8 0:00,13,NH12,1,0,0
2023/10/8 0:00,13,NH12,2,,
2023/10/9 0:00,1,NH11,1,,
2023/10/9 0:00,1,NH11,2,0,0
